origin,destination,modularity,rawvolume,expectation
21,41,-2429.6228829803404,19306.87109375,21736.49397673034
21,42,-13720.520301065138,10851.7666015625,24572.28690262764
21,43,-13354.60352230609,15736.439453125,29091.04297543109
21,44,-17137.681369426027,15034.0029296875,32171.684299113527
21,45,-13523.67372401342,7542.76220703125,21066.43593104467
21,46,-3049.948983330066,2737.102294921875,5787.051278251941
21,51,-13316.787869186017,25627.646484375,38944.43435356102
21,52,-13126.396567374952,12106.0166015625,25232.41316893745
21,53,-8193.549051659227,6994.69873046875,15188.247782127977
21,54,513.0746174337422,1449.8203125,936.7456950662578
21,61,-13579.922385931775,16423.625,30003.547385931775
21,62,-1141.8421133986067,14450.494140625,15592.336254023607
21,63,-1503.5126373343455,1356.0789794921875,2859.591616826533
21,64,-2494.37463941626,2684.27294921875,5178.64758863501
21,65,2973.364195392911,13096.7216796875,10123.357484294589
21,12,24939.89744013326,45384.296875,20444.39943486674
22,11,-1735.0001207511123,27342.046875,29077.046995751112
22,13,-2101.7077614730733,30765.345703125,32867.05346459807
22,14,-9989.762333784067,16735.1875,26724.949833784067
22,15,13202.966359248683,27670.12109375,14467.154734501317
22,21,61262.6666059249,79979.1953125,18716.5287065751
22,23,64153.739333543366,76930.234375,12776.495041456636
22,31,-8855.877410553927,13007.1953125,21863.072723053927
22,32,-6353.363988309709,13571.7421875,19925.10617580971
22,33,-6904.1055613785975,11667.4775390625,18571.583100441097
22,34,-12065.523016296454,10431.689453125,22497.212469421454
22,35,-7754.699677531709,14460.44140625,22215.14108378171
22,36,-8785.14733238516,13425.2890625,22210.43639488516
22,37,5143.546542745797,21835.373046875,16691.826504129203
22,41,-8958.359248588691,7853.55615234375,16811.91540093244
22,42,-5877.083175355179,13128.1533203125,19005.23649566768
22,43,-12938.095101129053,9562.13671875,22500.231819879053
22,44,-16021.300020614672,8861.62890625,24882.92892686467
22,45,-9096.537961950859,7197.12646484375,16293.664426794609
22,46,360.1838465799083,4836.1318359375,4475.947989357592
22,51,-17172.785003340654,12948.47265625,30121.257659590654
22,52,-12505.707670871925,7010.09814453125,19515.805815403175
22,53,861.144708122014,12608.3720703125,11747.227362190486
22,54,279.24395026361015,1003.7623291015625,724.5183788379524
22,61,-6899.1318326758665,16306.869140625,23206.000973300866
22,62,-3660.981165133908,8398.78515625,12059.766321383908
22,63,-791.4555387467844,1420.2724609375,2211.7279996842844
22,64,-757.3672089481634,3248.015869140625,4005.3830780887884
22,65,6210.527505026439,14040.3564453125,7829.828940286061
22,12,2298.819668408649,18111.375,15812.555331591351
23,11,-2827.9396293475365,20316.474609375,23144.414238722537
23,13,-8999.780726402121,17161.359375,26161.14010140212
23,14,-5653.898615115333,15618.3203125,21272.218927615333
23,15,13220.262279401824,24735.662109375,11515.399829973176
23,21,13922.556451644394,28820.32421875,14897.767767105606
23,22,55950.66880812791,67140.09375,11189.424941872088
23,31,-1414.8363247009438,15987.4814453125,17402.317770013444
23,32,-3134.914620456553,12724.8427734375,15859.757393894053
23,33,-5887.880978198054,8894.5146484375,14782.395626635554
23,34,-5251.2537132937105,12655.8193359375,17907.07304923121
23,35,-10012.421756510023,7670.13134765625,17682.553104166273
23,36,-11398.889374567323,6279.9189453125,17678.808319879823
23,37,-4905.144125297966,8381.0244140625,13286.168539360466
23,41,-3495.445951229871,9886.3095703125,13381.75552154237
23,42,-8175.971447632586,6951.5986328125,15127.570080445086
23,43,-10993.929970445788,6915.54638671875,17909.476357164538
23,44,-2735.54388640499,17070.484375,19806.02826140499
23,45,1423.3809424594638,14392.625,12969.244057540536
23,46,383.77846379184894,3946.4921875,3562.713723708151
23,51,-5710.526186691226,18265.046875,23975.573061691226
23,52,-3027.585353377268,12506.3818359375,15533.967189314768
23,53,5152.632415555823,14503.0556640625,9350.423248506677
23,54,-74.63645304363479,502.057373046875,576.6938260905098
23,61,-4894.327444623723,13576.9189453125,18471.246389936223
23,62,-3646.1870989663166,5953.00732421875,9599.194423185067
